,Date (MM/DD/YYYY),Layer,Recipe,Wafer Type,Site,1,2,3,4,5,6,7,8,9,Max Etch Rate,Min Etch Rate,Etch Rate (A/Min),% Uni,STDEV,Result,Employee Code,Lot ID,M'MENT TOOL,Remarks,LSL,USL,LCL,UCL,% Uni USL,% Uni UCL
3,2018-01-01,TEOS,ME-ER,ATZP91,Pre,5006.44,4938.82,4944.38,4917.69,4969.63,5039.08,4966.69,4917.93,4926.84,4079.500000000001,3811.5,3988.162222222222,3.396274236471941,88.39500916024072,Pass,1428,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
4,,,,ATZP91,Post,3048.14,2918.64,2916.12,2897.4,3013.42,3133.33,2953.02,2878.18,2922.52,,,,,,,,,,,,,,,,
5,,,,ATZP91,"∆ /Time=ERÅ/Min
",3916.5999999999995,4040.3599999999997,4056.5200000000004,4040.579999999999,3912.42,3811.5,4027.3399999999992,4079.500000000001,4008.6400000000003,,,,,,,,,,,,,,,,
15,2018-01-05,TEOS,ME-ER,ATZP91,Pre,6871.91,6867.18,6881.18,6844.27,6838.7,6864.9,6891.75,6866.4,6838.22,4037.3599999999988,3787.16,3951.664444444444,3.1976402386344334,83.90486444649237,Pass,1335/102,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
16,,,,ATZP91,Post,4927.9,4862.95,4871.56,4846.37,4901.89,4971.32,4893.69,4847.72,4858.62,,,,,,,,,,,,,,,,
17,,,,ATZP91,"∆ /Time=ERÅ/Min
",3888.0200000000004,4008.460000000001,4019.24,3995.800000000001,3873.619999999999,3787.16,3996.120000000001,4037.3599999999988,3959.2000000000007,,,,,,,,,,,,,,,,
24,2018-01-09,TEOS,ME-ER,ATZP91,Pre,4934.08,4870.7,4878.93,4854.35,4908.2,4976.64,4900.54,4855.75,4866.63,4034.0600000000004,3787.6000000000004,3954.4000000000005,3.1509935231140194,87.8981126077093,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
25,,,,ATZP91,Post,2994.16,2863.28,2864.1,2848.08,2970.88,3082.84,2896.07,2838.72,2892.89,,,,,,,,,,,,,,,,
26,,,,ATZP91,"∆ /Time=ERÅ/Min
",3879.84,4014.8399999999992,4029.6600000000008,4012.540000000001,3874.6399999999994,3787.6000000000004,4008.9399999999996,4034.0600000000004,3947.4800000000005,,,,,,,,,,,,,,,,
33,2018-01-12,TEOS,ME-ER,ATZP91,Pre,3000.74,2869.49,2870.67,2853.94,2976.28,3089.63,2902.31,2844.48,2898.61,3993.1000000000004,3760.2200000000003,3917.091111111112,3.003616515247663,82.91187074903733,Pass,121/1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
